date,total_energy
2020-04-15,4314.426211091
2020-04-16,3794.886688698
2020-04-17,3281.998115729
2020-04-18,2854.974723409
2020-04-19,3366.564341316
2020-04-20,3478.550581652
2020-04-21,3689.382567184
2020-04-22,4079.811849268
2020-04-23,4201.132450534
2020-04-24,4513.795772587
2020-04-25,4415.33338473
2020-04-26,3739.687567958
2020-04-27,4229.836190972
2020-04-28,4551.795765801
2020-04-29,4055.606287394
2020-04-30,3881.578501459
2020-05-01,3948.054312726
2020-05-02,3339.671782333
2020-05-03,3609.9934880710002
2020-05-04,4048.184690479
2020-05-05,4211.077598404
2020-05-06,4107.394315075
2020-05-07,4940.764281938
2020-05-08,4918.763961951
2020-05-09,3581.615796545
2020-05-10,3339.922282851
2020-05-11,3689.540901442
2020-05-12,3251.593051684
2020-05-13,3528.310878283
2020-05-14,3640.881406887
2020-05-15,3876.757986087
2020-05-16,3501.823841018
2020-05-17,3303.457124269
2020-05-18,3016.260964527
2020-05-19,3746.679236577
2020-05-20,3849.040996708
2020-05-21,3821.91136586
2020-05-22,3986.756629079
2020-05-23,3674.304688363
2020-05-24,4104.688664334
2020-05-25,5083.328775914
2020-05-26,5463.003322294
2020-05-27,6114.042347989
2020-05-28,4351.187387389
2020-05-29,3556.534731412
2020-05-30,2651.87984384
2020-05-31,3346.531121381
2020-06-01,3711.697706425
2020-06-02,4572.765507253
2020-06-03,5306.352793609
2020-06-04,4882.136218916
2020-06-05,2417.644429728
2020-06-06,1890.730860535
2020-06-07,2618.835884303
2020-06-08,3696.91183591
2020-06-09,4476.11883553
2020-06-10,4556.861441805
2020-06-11,4554.089989891
2020-06-12,3476.898682593
2020-06-13,2762.12259674
2020-06-14,3376.293550703
2020-06-15,3873.728953983
2020-06-16,3954.019602515
2020-06-17,4346.96187649
2020-06-18,5231.321586683
2020-06-19,4017.027026619
2020-06-20,3184.60395852
2020-06-21,3842.787207358
2020-06-22,3718.203389956
2020-06-23,3501.961948699
2020-06-24,3552.127360532
2020-06-25,3642.563498567
